ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	n_DE_KOs	contrast
ko:K01785	ko:K01785	5/561	29/59114	7.43881846157827e-06	9.39640226725676e-05	5	SC_vs_ST_up
ko:K17471	ko:K17471	4/312	24/59114	7.44150175607062e-06	0.000101700523999632	4	RC_vs_RT_up
ko:K21374	ko:K21374	7/561	80/59114	1.16622526080984e-05	0.00013994703129718	7	SC_vs_ST_up
ko:K09286	ko:K09286	6/312	94/59114	1.13569955106975e-05	0.000143272866442646	6	RC_vs_RT_up
ko:K09286	ko:K09286	2/6	94/59114	3.7370218455016e-05	0.00018685109227508	2	interaction_resistant
ko:K09414	ko:K09414	3/561	6/59114	1.66452717559729e-05	0.00018888661591779	3	SC_vs_ST_up
ko:K15797	ko:K15797	4/561	17/59114	1.73146064591308e-05	0.00018888661591779	4	SC_vs_ST_up
ko:K03549	ko:K03549	6/561	58/59114	1.89468348746309e-05	0.000197706103039627	6	SC_vs_ST_up
ko:K18857	ko:K18857	3/312	10/59114	1.70010447511206e-05	0.000199155095655985	3	RC_vs_RT_up
ko:K13899	ko:K13899	3/312	11/59114	2.32849472532913e-05	0.000254582089969318	3	RC_vs_RT_up
ko:K13691	ko:K13691	3/312	13/59114	4.00453904546503e-05	0.000410465252160166	3	RC_vs_RT_up
ko:K01859	ko:K01859	3/312	15/59114	6.32113110637052e-05	0.00060980323614398	3	RC_vs_RT_up
ko:K00660	ko:K00660	3/561	9/59114	6.84384705323898e-05	0.000676943370518251	3	SC_vs_ST_up
ko:K03320	ko:K03320	6/561	73/59114	7.06720308394278e-05	0.000676943370518251	6	SC_vs_ST_up
ko:K03921	ko:K03921	4/561	24/59114	7.33355318061439e-05	0.000676943370518251	4	SC_vs_ST_up
ko:K01674	ko:K01674	3/312	16/59114	7.74944364537753e-05	0.000706060421023286	3	RC_vs_RT_up
ko:K08249	ko:K08249	4/561	25/59114	8.66501110351797e-05	0.000742715237444398	4	SC_vs_ST_up
ko:K10775	ko:K10775	4/561	25/59114	8.66501110351797e-05	0.000742715237444398	4	SC_vs_ST_up
